"gene_symbol","geneid","ensemblid","geneNcbiType","geneDSI","geneDPI","genepLI","uniprotids","protein_classid","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","diseaseClasses_MSH","diseaseClasses_UMLS_ST","diseaseClasses_DO","diseaseClasses_HPO","disease_prevalence_class","disease_prevalence_geo_area","disease_prevalence_type","disease_inheritance","numCTsupportingAssociation","numPMIDs","chemsIncludedInEvidenceBySource","numChemsIncludedInEvidences","numPMIDSWithChemsIncludedInEvidences","numNCTSWithChemsIncludedInEvidences","score","yearInitial","yearFinal","evidence_level","evidence_index","diseaseid"
"THSD7A",221981,"ENSG00000005108","protein-coding",0.555,0.826,0.011926,"Q9UPZ6","DTO_05007621","Extracellular structure","Mixed bipolar I disorder","[disease]","C0236780","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","","","","","",0,1,NA,NA,NA,NA,0.4,2019,2019,NA,1,"C0236780"
"LOXL2",4017,"ENSG00000134013","protein-coding",0.504,0.783,3.7873e-16,"Q9Y4K0","","","Neoplasm Invasiveness","[phenotype]","C0027626","Neoplasms (C04) | Pathological Conditions, Signs and Symptoms (C23)","Pathologic Function (T046)","","","","","","",0,1,NA,NA,NA,NA,0.4,2013,2013,NA,1,"C0027626"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Hepatitis B","[disease]","C0019163","Digestive System Diseases (C06) | Infections (C01)","Disease or Syndrome (T047)","disease by infectious agent (0050117) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2005,2005,NA,1,"C0019163"
"MICA",100507436,"ENSG00000204520","protein-coding",0.405,0.913,0.0031713,"Q29983","","","Coronary Aneurysm","[disease]","C0010051","Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,1,NA,NA,NA,NA,0.4,2000,2000,NA,1,"C0010051"
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Mental Retardation","[disease]","C0025362","Mental Disorders (F03) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Behavior and Behavior Mechanisms (F01) | Pathological Conditions, Signs and Symptoms (C23) | Nervous System Diseases (C10)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,1,NA,NA,NA,NA,0.4,2011,2011,NA,1,"C0025362"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","Congenital hypoplastic anemia","[disease]","C0949116","Hemic and Lymphatic Diseases (C15) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","physical disorder (0080015) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,1979,1979,NA,1,"C0949116"
"C5AR1",728,"ENSG00000197405","protein-coding",0.497,0.87,0.37999,"P21730","DTO_02300001","G-protein coupled receptor","Toxic Shock Syndrome","[disease]","C0600327","Infections (C01) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","disease by infectious agent (0050117)","","","","","Not applicable",0,1,NA,NA,NA,NA,0.4,2008,2008,NA,1,"C0600327"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Malignant epithelioma","[disease]","C0553707","Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566)","","","","","",0,1,NA,NA,NA,NA,0.4,2002,2002,NA,1,"C0553707"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Rheumatic aortic regurgitation","[disease]","C0155568","Cardiovascular Diseases (C14) | Infections (C01)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2011,2011,NA,1,"C0155568"
"RETREG1",54463,"ENSG00000154153","protein-coding",0.581,0.696,3.7806e-05,"Q9H6L5","","","Hereditary Sensory Autonomic Neuropathy, Type 1","[disease]","C0020071","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","Autosomal dominant",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0020071"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Hepatitis C","[disease]","C0019196","Digestive System Diseases (C06) | Infections (C01)","Disease or Syndrome (T047)","disease by infectious agent (0050117) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2005,2005,NA,1,"C0019196"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Biliary cirrhosis","[disease]","C0023892","Pathological Conditions, Signs and Symptoms (C23) | Digestive System Diseases (C06)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the digestive system (25031)","","","","",0,1,NA,NA,NA,NA,0.4,2005,2005,NA,1,"C0023892"
"THSD7A",221981,"ENSG00000005108","protein-coding",0.555,0.826,0.011926,"Q9UPZ6","DTO_05007621","Extracellular structure","Bipolar I disorder, most recent episode manic (disorder)","[disease]","C0024713","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","","","","","",0,1,NA,NA,NA,NA,0.4,2019,2019,NA,1,"C0024713"
"THSD7A",221981,"ENSG00000005108","protein-coding",0.555,0.826,0.011926,"Q9UPZ6","DTO_05007621","Extracellular structure","Depression, Bipolar","[disease]","C0005587","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,1,NA,NA,NA,NA,0.4,2019,2019,NA,1,"C0005587"
"LOXL2",4017,"ENSG00000134013","protein-coding",0.504,0.783,3.7873e-16,"Q9Y4K0","","","Autism Spectrum Disorders","[disease]","C1510586","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,1,NA,NA,NA,NA,0.4,2022,2022,NA,1,"C1510586"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Diffuse malignant mesothelioma","[disease]","C0392400","Neoplasms (C04) | Respiratory Tract Diseases (C08)","Neoplastic Process (T191)","disease of cellular proliferation (14566)","","","","","",0,1,NA,NA,NA,NA,0.4,2016,2016,NA,1,"C0392400"
"RETREG1",54463,"ENSG00000154153","protein-coding",0.581,0.696,3.7806e-05,"Q9H6L5","","","Sensory Neuropathy, Hereditary","[disease]","C0699739","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0699739"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","malignant neoplasm of head of pancreas","[disease]","C0153458","Digestive System Diseases (C06) | Endocrine System Diseases (C19) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0153458"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Pauciarticular juvenile rheumatoid arthritis","[disease]","C0157917","Immune System Diseases (C20) | Musculoskeletal Diseases (C05) | Skin and Connective Tissue Diseases (C17)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0157917"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Pauciarticular juvenile rheumatoid arthritis","[disease]","C0157917","Immune System Diseases (C20) | Musculoskeletal Diseases (C05) | Skin and Connective Tissue Diseases (C17)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0157917"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Prostate cancer, familial","[disease]","C2931456","Urogenital Diseases (C12) | Neoplasms (C04)","Neoplastic Process (T191)","","","1-9 / 100 000","United States","Annual incidence","Not applicable",0,1,NA,NA,NA,NA,0.4,2018,2018,NA,1,"C2931456"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","Erythroleukemia (Erythroid/Myeloid)","[disease]","C4520840","Neoplasms (C04) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","","","","","",0,1,NA,NA,NA,NA,0.4,1979,1979,NA,1,"C4520840"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Mammary Neoplasms","[disease]","C1458155","Skin and Connective Tissue Diseases (C17) | Neoplasms (C04)","Neoplastic Process (T191)","","Abnormality of the breast (00769) | Neoplasm (02664)","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C1458155"
"LOXL2",4017,"ENSG00000134013","protein-coding",0.504,0.783,3.7873e-16,"Q9Y4K0","","","Biliary cirrhosis","[disease]","C0023892","Pathological Conditions, Signs and Symptoms (C23) | Digestive System Diseases (C06)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the digestive system (25031)","","","","",0,1,NA,NA,NA,NA,0.4,2005,2005,NA,1,"C0023892"
"LOXL2",4017,"ENSG00000134013","protein-coding",0.504,0.783,3.7873e-16,"Q9Y4K0","","","Hepatitis B","[disease]","C0019163","Digestive System Diseases (C06) | Infections (C01)","Disease or Syndrome (T047)","disease by infectious agent (0050117) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2005,2005,NA,1,"C0019163"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Prenatal Injuries","[disease]","C0086468","Urogenital Diseases (C12)","Injury or Poisoning (T037)","","","","","","",0,1,NA,NA,NA,NA,0.4,2010,2010,NA,1,"C0086468"
"SLC6A12",6539,"ENSG00000111181","protein-coding",0.688,0.522,8.1403e-10,"P48065","DTO_05007405","Transporter","Neoplasm Invasiveness","[phenotype]","C0027626","Neoplasms (C04) | Pathological Conditions, Signs and Symptoms (C23)","Pathologic Function (T046)","","","","","","",0,1,NA,NA,NA,NA,0.4,2015,2015,NA,1,"C0027626"
"RETREG1",54463,"ENSG00000154153","protein-coding",0.581,0.696,3.7806e-05,"Q9H6L5","","","HSAN Type IV","[disease]","C0020074","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","1-9 / 1 000 000","Japan","Point prevalence","Autosomal recessive",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0020074"
"NEDD4L",23327,"ENSG00000049759","protein-coding",0.487,0.87,0.99878,"Q96PU5","DTO_05007624","Enzyme","Endometriosis","[disease]","C0014175","Urogenital Diseases (C12)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the genitourinary system (00119)","","","","",0,1,NA,NA,NA,NA,0.4,2011,2011,NA,1,"C0014175"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","Hereditary spherocytosis","[disease]","C0037889","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Hemic and Lymphatic Diseases (C15)","Disease or Syndrome (T047)","physical disorder (0080015) | disease of anatomical entity (7)","","1-5 / 10 000,1-5 / 10 000,1-5 / 10 000","Germany,United States,Europe","Point prevalence,Prevalence at birth,Point prevalence","Autosomal dominant,Autosomal recessive",0,1,NA,NA,NA,NA,0.4,1979,1979,NA,1,"C0037889"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Colorectal Neoplasms","[disease]","C0009404","Digestive System Diseases (C06) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the digestive system (25031) | Neoplasm (02664)","","","","",0,1,NA,NA,NA,NA,0.4,2007,2007,NA,1,"C0009404"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Adenoid Cystic Carcinoma","[disease]","C0010606","Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2013,2013,NA,1,"C0010606"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","Anemia, Sickle Cell","[disease]","C0002895","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Hemic and Lymphatic Diseases (C15)","Disease or Syndrome (T047)","disease of anatomical entity (7) | genetic disease (630)","","1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000","France,Germany,United States,Belgium,Europe,United States,Brazil","Prevalence at birth,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Annual incidence","Autosomal recessive",0,1,NA,NA,NA,NA,0.4,1979,1979,NA,1,"C0002895"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Asbestos-Related Malignant Mesothelioma","[disease]","C1332338","Respiratory Tract Diseases (C08) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566)","","","","","",0,1,NA,NA,NA,NA,0.4,2016,2016,NA,1,"C1332338"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","Constitutional aplastic anemia","[disease]","C0702159","Hemic and Lymphatic Diseases (C15)","Disease or Syndrome (T047)","physical disorder (0080015) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,1979,1979,NA,1,"C0702159"
"PRMT5",10419,"ENSG00000100462","protein-coding",0.486,0.87,1,"O14744","DTO_05007378","Epigenetic regulator","Neuroectodermal Tumor, Primitive","[disease]","C0206663","Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Neoplasm (02664)","","","","",0,1,NA,NA,NA,NA,0.4,2019,2019,NA,1,"C0206663"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Mesothelioma malignant advanced","[disease]","C0278752","","Neoplastic Process (T191)","disease of cellular proliferation (14566)","","","","","",0,1,NA,NA,NA,NA,0.4,2016,2016,NA,1,"C0278752"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Monoarticular juvenile rheumatoid arthritis","[disease]","C0157918","Immune System Diseases (C20) | Musculoskeletal Diseases (C05) | Skin and Connective Tissue Diseases (C17)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0157918"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Acute polyarticular juvenile rheumatoid arthritis","[disease]","C0157916","Immune System Diseases (C20) | Musculoskeletal Diseases (C05) | Skin and Connective Tissue Diseases (C17)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0157916"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Malignant neoplasm of tail of pancreas","[disease]","C0153460","Digestive System Diseases (C06) | Endocrine System Diseases (C19) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0153460"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Malignant neoplasm of other specified sites of pancreas","[disease]","C0153463","Digestive System Diseases (C06) | Endocrine System Diseases (C19) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0153463"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Juvenile Chronic Polyarthritis","[disease]","C0409667","Immune System Diseases (C20) | Musculoskeletal Diseases (C05) | Skin and Connective Tissue Diseases (C17)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0409667"
"RETREG1",54463,"ENSG00000154153","protein-coding",0.581,0.696,3.7806e-05,"Q9H6L5","","","Hereditary Sensory Autonomic Neuropathy, Type 5","[disease]","C0020075","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","Autosomal recessive",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0020075"
"ADARB2",105,"ENSG00000185736","protein-coding",0.62,0.87,0.0043883,"Q9NS39","DTO_05007624","Enzyme","Substance-Related Disorders","[disease]","C0236969","Mental Disorders (F03) | Chemically-Induced Disorders (C25)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","","","","","",0,1,NA,NA,NA,NA,0.4,2010,2010,NA,1,"C0236969"
"RETREG1",54463,"ENSG00000154153","protein-coding",0.581,0.696,3.7806e-05,"Q9H6L5","","","Hereditary sensory neuropathy of Denny-Brown","[disease]","C0086405","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0086405"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Pancreatic Neoplasm","[disease]","C0030297","Digestive System Diseases (C06) | Endocrine System Diseases (C19) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the digestive system (25031) | Neoplasm (02664)","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0030297"
"IQSEC1",9922,"ENSG00000144711","protein-coding",0.619,0.783,0.99606,"Q6DN90","","","Lung Neoplasms","[disease]","C0024121","Respiratory Tract Diseases (C08) | Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Neoplasm (02664) | Abnormality of the respiratory system (02086)","","","","",0,1,NA,NA,NA,NA,0.4,2017,2017,NA,1,"C0024121"
"MAGI1",9223,"ENSG00000151276","protein-coding",0.586,0.913,0.85449,"Q96QZ7","","","Adenoid Cystic Carcinoma","[disease]","C0010606","Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2013,2013,NA,1,"C0010606"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Silicosis","[disease]","C0037116","Respiratory Tract Diseases (C08)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2024,2024,NA,1,"C0037116"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","CARDIOMYOPATHY, DILATED, 1S","[disease]","C1834481","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C1834481"
"JMJD1C-AS1",84989,"ENSG00000272767","ncRNA",0.782,0.348,NA,"","","","Early myoclonic encephalopathy","[disease]","C0270855","Nervous System Diseases (C10)","Disease or Syndrome (T047)","","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0270855"
"IQSEC1",9922,"ENSG00000144711","protein-coding",0.619,0.783,0.99606,"Q6DN90","","","Adenocarcinoma of lung (disorder)","[disease]","C0152013","Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Neoplasm (02664) | Abnormality of the respiratory system (02086)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0152013"
"VIPR2",7434,"ENSG00000106018","protein-coding",0.565,0.87,8.2204e-13,"P41587","DTO_02300001","G-protein coupled receptor","Myoepithelioma","[disease]","C0027070","Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0027070"
"NTM",50863,"ENSG00000182667","protein-coding",0.586,0.913,0.98694,"Q9P121","","","Hypertensive disease","[disease]","C0020538","Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0020538"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","ARTERIAL TORTUOSITY SYNDROME","[disease]","C1859726","Musculoskeletal Diseases (C05) | Cardiovascular Diseases (C14) | Skin and Connective Tissue Diseases (C17) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal recessive",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C1859726"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","DISSECTION, AORTIC ACUTE","[disease]","C0241868","","Disease or Syndrome (T047)","","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0241868"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Transitional cell carcinoma of bladder","[disease]","C0279680","Urogenital Diseases (C12) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the genitourinary system (00119) | Neoplasm (02664)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0279680"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","RETINITIS PIGMENTOSA 1","[disease]","C0220701","Eye Diseases (C11) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0220701"
"NEDD4L",23327,"ENSG00000049759","protein-coding",0.487,0.87,0.99878,"Q96PU5","DTO_05007624","Enzyme","Heterotopia, Periventricular, Associated With Chromosome 5q Deletion","[disease]","C2752071","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C2752071"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Mosaic variegated aneuploidy syndrome 1","[disease]","C1850343","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | syndrome (225)","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C1850343"
"IQSEC1",9922,"ENSG00000144711","protein-coding",0.619,0.783,0.99606,"Q6DN90","","","Non-Small Cell Adenocarcinoma","[disease]","C1335060","Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C1335060"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Distal 22q11.2 microdeletion syndrome","[disease]","C4518343","","Disease or Syndrome (T047)","","","","","","Autosomal dominant",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C4518343"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Range of joint movement increased","[phenotype]","C1844820","","Finding (T033)","","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C1844820"
"SH2B1",25970,"ENSG00000178188","protein-coding",0.534,0.87,0.99999,"Q9NRF2","","","Proximal 16p11.2 microdeletion syndrome (disorder)","[disease]","C4273657","Mental Disorders (F03) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Behavior and Behavior Mechanisms (F01) | Pathological Conditions, Signs and Symptoms (C23) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630)","","1-5 / 10 000,1-5 / 10 000","Europe,United States","Point prevalence,Point prevalence","Autosomal dominant,Not applicable",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C4273657"
"KCNN3",3782,"ENSG00000143603","protein-coding",0.52,0.913,0.99999,"Q9UGI6","DTO_01300327","Ion channel","Pyloric Stenosis","[phenotype]","C0034194","Digestive System Diseases (C06)","Pathologic Function (T046)","disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0034194"
"ADARB2",105,"ENSG00000185736","protein-coding",0.62,0.87,0.0043883,"Q9NS39","DTO_05007624","Enzyme","Colorectal Carcinoma","[disease]","C0009402","Digestive System Diseases (C06) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0009402"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Adenocarcinoma of colon","[disease]","C0338106","Digestive System Diseases (C06) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the digestive system (25031) | Neoplasm (02664)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0338106"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Congenital aneurysm of ascending aorta","[disease]","C0345050","Cardiovascular Diseases (C14)","Congenital Abnormality (T019)","","","1-9 / 1 000 000","Worldwide","Annual incidence","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0345050"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Interphalangeal joint contracture of finger","[disease]","C4021784","","Anatomical Abnormality (T190)","","Abnormality of the musculoskeletal system (33127) | Abnormality of limbs (40064)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C4021784"
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spectrin-associated autosomal recessive cerebellar ataxia","[disease]","C4706415","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal recessive",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C4706415"
